Content,EventId,Extracted Template,,Category,Source,Context_Source,Rule_Score,Similarity_Score,Total_Score
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:145840+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<FILE_NAME>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.811870403,0.718435202
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:153132+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<FILE_NAME>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.808173416,0.716586708
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:277096+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.813195001,0.719097501
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:218760+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<FILE_NAME>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.81013179,0.717565895
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:262512+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.80629791,0.715648955
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE_NAME>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.802723155,0.713861577
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:51044+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE>.log:<LINE_NUMBER>+<BYTE_NUMBER>,,Seen,Spark,Similarity-Based,0.625,0.809328945,0.717164472
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.810601754,0.717800877
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE>.log:<LINE_NUMBER>+<LINE_NUMBER>,,Seen,Spark,Similarity-Based,0.625,0.810164308,0.717582154
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,mapreduce.job.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,mapreduce.task.attempt.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,mapred.task.is.map,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,mapreduce.task.id,,Unseen,Spark,Rule-Based,0.3,0,0.15
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,,Seen,Spark,Similarity-Based,0.3,0.820984243,0.560492121
"Partition rdd_2_4 not found, computing it",E19,"Partition <\d*> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.843303605,0.621651802
"Partition rdd_42_28 not found, computing it",E19,"Partition <*>_<*> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.793202594,0.596601297
"Partition rdd_11_0 not found, computing it",E19,"Partition <\d+>_<\d+> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.844512122,0.622256061
"Partition rdd_2_1 not found, computing it",E19,"Partition <*> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.889013689,0.644506845
"Partition rdd_42_0 not found, computing it",E19,"Partition <\d+>_<\d+> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.828006111,0.614003056
"Partition rdd_42_26 not found, computing it",E19,"Partition <\d+>_<\d+> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.811798807,0.605899404
"Partition rdd_26_2 not found, computing it",E19,"Partition <\d+>_<\d+> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.846080986,0.623040493
"Partition rdd_11_3 not found, computing it",E19,"Partition <*>_<*> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.82646225,0.613231125
"Partition rdd_42_33 not found, computing it",E19,"Partition <*>_<*> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.794538201,0.5972691
"Partition rdd_42_29 not found, computing it",E19,"Partition <*>_<*> not found, computing it",,Seen,Spark,Similarity-Based,0.4,0.786918351,0.593459175
"Block broadcast_23_piece0 stored as bytes in memory (estimated size 5.4 KB, free 378.2 KB)",E2,"Block <*>\_<*\>\_<*>\ stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Similarity-Based,0.4,0.754877365,0.577438683
"Block broadcast_33_piece0 stored as bytes in memory (estimated size 29.5 KB, free 404.8 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Similarity-Based,0.4,0.787782408,0.593891204
"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Similarity-Based,0.4,0.752520807,0.576260403
"Block broadcast_25_piece0 stored as bytes in memory (estimated size 5.7 KB, free 409.5 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Similarity-Based,0.4,0.783752164,0.591876082
"Block rdd_21_1 stored as bytes in memory (estimated size 162.0 B, free 403.0 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>.<*> B, free <*>.<*> KB)",,Seen,Spark,Rule-Based,0.4,0,0.2
"Block rdd_42_0 stored as bytes in memory (estimated size 913.0 B, free 804.8 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Rule-Based,0.4,0,0.2
"Block rdd_11_4 stored as bytes in memory (estimated size 145.0 B, free 432.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Rule-Based,0.4,0,0.2
"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Rule-Based,0.4,0,0.2
"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Rule-Based,0.4,0,0.2
"Block rdd_21_3 stored as bytes in memory (estimated size 194.0 B, free 403.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",,Seen,Spark,Rule-Based,0.4,0,0.2
Reading broadcast variable 20 took 15 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Similarity-Based,0.4,0.707845355,0.553922678
Reading broadcast variable 16 took 13 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Similarity-Based,0.4,0.731755927,0.565877964
Reading broadcast variable 3 took 17 ms,E20,Reading broadcast variable <3> took <17> ms,,Seen,Spark,Similarity-Based,0.4,0.73357243,0.566786215
Reading broadcast variable 32 took 16 ms,E20,Reading broadcast variable <3*> took <1*> ms,,Seen,Spark,Similarity-Based,0.4,0.717488101,0.55874405
Reading broadcast variable 39 took 716 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Similarity-Based,0.4,0.747883093,0.573941547
Reading broadcast variable 28 took 9 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Rule-Based,0.4,0,0.2
Reading broadcast variable 2 took 16 ms,E20,Reading broadcast variable <2> took <16> ms,,Seen,Spark,Similarity-Based,0.4,0.723581665,0.561790833
Reading broadcast variable 29 took 11 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Rule-Based,0.4,0,0.2
Reading broadcast variable 27 took 10 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Similarity-Based,0.4,0.714659688,0.557329844
Reading broadcast variable 19 took 12 ms,E20,Reading broadcast variable <*> took <*> ms,,Seen,Spark,Similarity-Based,0.4,0.71510301,0.557551505
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
Registered BlockManager,E21,Registered BlockManager,,Unseen,Spark,Rule-Based,0.3,0,0.15
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",,Seen,Spark,Similarity-Based,0.3,0.873981735,0.586990867
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>@<*>],,Seen,Spark,Similarity-Based,0.5,0.924284622,0.712142311
Running task 30.0 in stage 26.0 (TID 1230),E24,Running task <*> in stage <*> (TID <*>),,Seen,Spark,Similarity-Based,0.4,0.715727846,0.557863923
Running task 4.0 in stage 26.0 (TID 1204),E24,Running task <*> in stage <*> (TID <*>),,Seen,Spark,Rule-Based,0.4,0,0.2
Running task 1.0 in stage 22.0 (TID 900),E24,Running task <1.0> in stage <22.0> (TID <900>),,Seen,Spark,Similarity-Based,0.4,0.735639638,0.567819819
Running task 17.0 in stage 28.0 (TID 1297),E24,Running task <*> in stage <*> (TID <*>),,Seen,Spark,Rule-Based,0.4,0,0.2
Running task 0.0 in stage 12.0 (TID 480),E24,Running task <*> in stage <*> (TID <*>),,Seen,Spark,Similarity-Based,0.4,0.704821758,0.552410879
Running task 4.0 in stage 1.0 (TID 79),E24,Running task <*> in stage <*> (TID <*>),,Seen,Spark,Rule-Based,0.4,0,0.2
Running task 4.0 in stage 23.0 (TID 959),E24,Running task <*> in stage <*> (TID <*>),,Seen,Spark,Rule-Based,0.4,0,0.2
