Log,Extracted Template,Source,Context_Source,Rule_Score,Similarity_Score
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<*>: notification observer: <*> notification: <*> {name = <*>},Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),<*>: Updating enabled: <*>   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<*>: Updating enabled: YES   (Topics: <*>),Mac,Rule-Based,0.45,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
after trim url = https://www.google.com/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,after trim url = <*>,Mac,Rule-Based,0.5,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on <*> Reason <*> (Unspecified).,Mac,Rule-Based,0.433333333,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
[00:28:42.167] (Fig) signalled err=-12871,[<*>] (<*>) signalled err=<*-71>,Mac,Rule-Based,0.466666667,0
AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,AirPort: Link Down on <*> Reason <*> (<*> because <*> leaving).,Mac,Rule-Based,0.433333333,0
