Content,EventId,EventTemplate,Source
Failed password for invalid user admin from 192.168.56.101 port 49210 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2,Openssh
Invalid user testuser from 10.0.1.55,E13,Invalid user <*> from <*>,Openssh
PAM 2 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.101,E15,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,Openssh
PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.101,E16,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,Openssh
PAM service(sshd) ignoring max retries; 7> 4,E18,PAM service(sshd) ignoring max retries; <*> > <*>,Openssh
Connection closed by 192.168.0.101 [preauth],E2,Connection closed by <*> [preauth],Openssh
pam_unix(sshd:session): session closed for user xyz,E22,pam_unix(sshd:session): session closed for user <*>,Openssh
Received disconnect from 10.0.2.35: 13: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth],Openssh
Received disconnect from 10.0.2.35: 13: disconnected by user,E26,Received disconnect from <*>: <*>: disconnected by user,Openssh
Disconnecting: Too many authentication failures for root [preauth],E4,Disconnecting: Too many authentication failures for <*> [preauth],Openssh
error: Received disconnect from 10.0.2.35: 13: com.jcraft.jsch.JSchException: Auth fail [preauth],E6,error: Received disconnect from <*>: <*>: com.jcraft.jsch.JSchException: Auth fail [preauth],Openssh
Failed password for root from 192.168.56.101 port 49210 ssh2,E9,Failed password for <*> from <*> port <*> ssh2,Openssh
input_userauth_request: invalid user test8 [preauth],E12,input_userauth_request: invalid user <*> [preauth],Openssh
"tcpconn6.tencent.com:8787 close, 1944 bytes sent, 576 bytes received, lifetime 00:58",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>",Proxifier
server.example.com:6204 open through proxy proxy.cse.cuhk.edu.hk:2725 SOCKS5,E1,<*>:<*> open through proxy <*>:<*> SOCKS5,Proxifier
183.62.156.108:3301 error : A connection request was canceled before the completion.,E7,<*>:<*> error : A connection request was canceled before the completion.,Proxifier
223.167.104.147:4565 error : Could not connect to proxy proxy.cse.cuhk.edu.hk - Could not resolve proxy.cse.cuhk.edu.hk error 10957,E3,<*>:<*> error : Could not connect to proxy <*>:<*> - Could not resolve <*> error <*>,Proxifier
"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",Spark
"Changing modify acls to: user1,user2  ",E4,Changing modify acls to: <*>,Spark
Remoting started; listening on addresses :[akka.tcp://sparkDriverActorSystem@mesos-master-01:52345],E23,Remoting started; listening on addresses :[akka.tcp://<*>],Spark
Successfully started service 'sparkExecutorActorSystem' on port 45000.,E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,Spark
MemoryStore started with capacity 4.0 GB,E18,MemoryStore started with capacity <*> GB,Spark
Starting executor ID 1 on host mesos-slave-01,E30,Starting executor ID <*> on host <*>,Spark
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40400.,E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,Spark
Server created on 40678,E27,Server created on <*>,Spark
Running task 1.0 in stage 2.0 (TID 5),E24,Running task <*> in stage <*> (TID <*>),Spark
"Block broadcast_2_piece0 stored as bytes in memory (estimated size 6.1 KB, free 6.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",Spark
